Female Total,Female Percentage,Male Total,Male Percentage,Zipcode,Grand Total
1631,51.47,1538,48.53,25514,3169
1116,51.93,1033,48.07,25515,2149
999,46.75,1138,53.25,25517,2137
1004,60.66,651,39.34,25520,1655
443,50.8,429,49.2,25521,872
1440,49.15,1490,50.85,25523,2930
1597,49.83,1608,50.17,25524,3205
11538,51.41,10905,48.59,25526,22443
511,54.59,425,45.41,25529,936
2660,48.19,2860,51.81,25530,5520
1499,53.36,1310,46.64,25535,2809
771,53.99,657,46.01,25537,1428
131,67.88,62,32.12,25540,193
4754,49.47,4856,50.53,25541,9610
2573,50.29,2543,49.71,25545,5116
481,51.55,452,48.45,25547,933
4314,50.97,4150,49.03,25550,8464
871,48.88,911,51.12,25555,1782
859,51.93,795,48.07,25557,1654
1041,50.24,1031,49.76,25559,2072
4269,50.89,4119,49.11,25560,8388
744,50.03,743,49.97,25564,1487
265,39.43,407,60.57,25565,672
380,58.46,270,41.54,25567,650
3317,52.5,3001,47.5,25570,6318
905,48.76,951,51.24,25571,1856
565,57.71,414,42.29,25573,979
2790,51.48,2630,48.52,25601,5420
847,58.49,601,41.51,25606,1448
427,40.59,625,59.41,25607,1052
525,49.07,545,50.93,25608,1070
757,50.94,729,49.06,25611,1486
439,53.93,375,46.07,25617,814
952,49.51,971,50.49,25621,1923
125,41.95,173,58.05,25624,298
513,34.9,957,65.1,25625,1470
253,62.78,150,37.22,25628,403
321,46.05,376,53.95,25630,697
201,50.0,201,50.0,25632,402
155,39.64,236,60.36,25634,391
671,49.93,673,50.07,25635,1344
354,46.09,414,53.91,25637,768
453,49.24,467,50.76,25638,920
131,37.64,217,62.36,25639,348
229,45.44,275,54.56,25644,504
521,54.9,428,45.1,25646,949
415,59.37,284,40.63,25647,699
741,50.27,733,49.73,25649,1474
129,55.6,103,44.4,25650,232
361,48.2,388,51.8,25651,749
626,56.35,485,43.65,25652,1111
147,55.68,117,44.32,25653,264
107,43.15,141,56.85,25654,248
3499,55.61,2793,44.39,25661,6292
314,43.73,404,56.27,25666,718
524,50.53,513,49.47,25669,1037
2815,50.04,2811,49.96,25670,5626
654,49.58,665,50.42,25671,1319
201,40.94,290,59.06,25672,491
1380,51.4,1305,48.6,25674,2685
827,59.45,564,40.55,25676,1391
682,51.24,649,48.76,25678,1331
203,54.57,169,45.43,25688,372
143,47.51,158,52.49,25690,301
516,47.6,568,52.4,25692,1084
114,58.76,80,41.24,25696,194
72,43.9,92,56.1,25699,164
10768,50.96,10364,49.04,25701,21132
3641,48.58,3854,51.42,25702,7495
3949,52.55,3566,47.45,25703,7515
9079,53.48,7896,46.52,25704,16975
11490,52.69,10315,47.31,25705,21805
17428,52.25,15924,47.75,25801,33352
105,35.71,189,64.29,25810,294
834,47.12,936,52.88,25812,1770
3167,40.27,4697,59.73,25813,7864
338,43.44,440,56.56,25817,778
211,53.42,184,46.58,25820,395
1384,56.95,1046,43.05,25823,2430
1002,46.93,1133,53.07,25825,2135
178,57.98,129,42.02,25826,307
1008,47.41,1118,52.59,25827,2126
869,54.69,720,45.31,25831,1589
2255,51.5,2124,48.5,25832,4379
180,29.08,439,70.92,25836,619
147,44.28,185,55.72,25837,332
323,52.78,289,47.22,25839,612
4259,51.16,4066,48.84,25840,8325
208,49.06,216,50.94,25841,424
479,55.63,382,44.37,25843,861
835,53.12,737,46.88,25844,1572
